record_id,origin,status,gold_abstract_len,refetched_abstract_len,gold_first120,refetched_first120
API_PubMed_10_1007_s12032_025_03200_7,refetched,normalized_match,2081,2079,"Cisplatin remains one of the most widely used chemotherapeutic agents, yet its clinical efficacy is limited by poor tumo","Cisplatin remains one of the most widely used chemotherapeutic agents, yet its clinical efficacy is limited by poor tumo"
API_OpenAlex_10_2166_wqrj_2025_052,refetched,verbatim_match,1409,1409,ABSTRACT Wastewater stabilisation ponds (WSPs) provide favourable conditions for cyanobacterial proliferation. Cyanobact,ABSTRACT Wastewater stabilisation ponds (WSPs) provide favourable conditions for cyanobacterial proliferation. Cyanobact
API_OpenAlex_10_1111_iwj_12873,warehouse_existing,normalized_match,1050,1048,Up to 15 billion dollars of US health care expenditure each year is consumed by treatment of poorly healing wounds whose,Up to 15 billion dollars of US health care expenditure each year is consumed by treatment of poorly healing wounds whose
API_OpenAlex_10_1021_acs_biomac_5b01003,refetched,normalized_match,1373,1370,"Silk has a robust clinical track record and is emerging as a promising biopolymer for drug delivery, including its use a","Silk has a robust clinical track record and is emerging as a promising biopolymer for drug delivery, including its use a"
API_OpenAlex_10_1021_acs_nanolett_6b01411,warehouse_existing,verbatim_match,1749,1749,Long-term in vivo imaging of cells is crucial for the understanding of cellular fate in biological processes in cancer r,Long-term in vivo imaging of cells is crucial for the understanding of cellular fate in biological processes in cancer r
API_OpenAlex_10_1080_12269328_2016_1153987,warehouse_existing,verbatim_match,1416,1416,"The importance of nanobubbles is widely acknowledged, particularly in terms of their role with respect to bubble size an","The importance of nanobubbles is widely acknowledged, particularly in terms of their role with respect to bubble size an"
API_OpenAlex_10_1021_acs_langmuir_8b03650,warehouse_existing,verbatim_match,1593,1593,"Tumor hypoxia is a significant factor leading to the resistance of tumors to treatment, especially for photodynamic ther","Tumor hypoxia is a significant factor leading to the resistance of tumors to treatment, especially for photodynamic ther"
API_PubMed_10_1080_03639045_2025_2562181,refetched,source_side_revision_or_mismatch,1493,1991,"This study aimed to develop, characterize, and evaluate resveratrol-loaded pegylated PLGA [poly (lactic-co-glycolic acid","OBJECTIVE: This study aimed to develop, characterize, and evaluate resveratrol-loaded pegylated PLGA [poly (lactic-co-gl"
API_OpenAlex_10_1002_ange_201505817,warehouse_existing,source_side_revision_or_mismatch,719,704,Abstract The dispersion into water of nanocapsules bearing a highly hydrophobic fluorinated internal lining yielded enca,The dispersion into water of nanocapsules bearing a highly hydrophobic fluorinated internal lining yielded encapsulated 
API_PubMed_10_2147_DDDT_S296880,warehouse_existing,source_side_revision_or_mismatch,1558,1595,Sonodynamic therapy (SDT) is considered a promising therapeutic strategy for the effective elimination of cancer cells. ,PURPOSE: Sonodynamic therapy (SDT) is considered a promising therapeutic strategy for the effective elimination of cance
